order,family,genus,species,iucn2020_binomial,phylacine_binomial,adult_mass_g,brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,female_maturity_d,male_maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n
Rodentia,Abrocomidae,Abrocoma,vaccarum,Abrocoma vaccarum,Abrocoma vaccarum,221.82,4.014,201,NA,395.417,NA,283.232,NA,357.722,112.269,NA,1.995,1.851,129.491,12.755,42.302,NA,1093.289,0.463,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,G,1,0,0,1,0,3000,3000,0,NA,Occurs on mainland,NA,NA,Neotropical,1
Rodentia,Cricetidae,Abrothrix,andinus,Abrothrix andinus,Abrothrix andinus,34.65,0.912,140,NA,914.808,NA,72.928,NA,102.141,23.79,NA,4.171,3.537,27.552,NA,23.08,NA,423.309,0.167,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,0,Occurs on mainland,1,0,Neotropical,2
Rodentia,Cricetidae,Abrothrix,illutea,Abrothrix illutea,Abrothrix illutea,47.79,0.955,140,NA,938.139,NA,73.858,NA,102.767,24.592,NA,4.003,3.541,29.011,NA,23.116,NA,453.268,0.199,NA,0,1,NA,NA,55,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,2500,700,1800,0,Occurs on mainland,0,0,Neotropical,1
Rodentia,Cricetidae,Abrothrix,jelskii,Abrothrix jelskii,Abrothrix jelskii,34.5,0.786,140,NA,934.248,NA,63.935,NA,95.981,23.524,NA,4.212,3.573,26.597,NA,21.436,NA,399.834,0.166,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,G,2,0,0,1,0,5000,2200,2800,0,Occurs on mainland,1,0,Neotropical,4
Rodentia,Cricetidae,Abrothrix,lanosus,Abrothrix lanosus,Abrothrix lanosus,25.915,0.816,140,NA,909.49,NA,72.562,NA,101.354,23.826,NA,4.174,3.486,26.771,NA,22.662,NA,410.32,0.142,NA,0,1,NA,NA,45,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,NA,NA,NA,0,Occurs on mainland,0,1,Neotropical,2
Rodentia,Cricetidae,Abrothrix,longipilis,Abrothrix longipilis,Abrothrix longipilis,185,1.584,159.67,NA,1207.695,51.73,63.003,NA,112.3,21.902,NA,4.845,4,22.734,3.145,21.035,65.53,504.989,0.419,1381.667,0,2,NA,NA,89,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,NA,NA,NA,0,Occurs on mainland,1,1,Neotropical,4
Rodentia,Cricetidae,Abrothrix,manni,Abrothrix manni,Not recognised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rodentia,Cricetidae,Abrothrix,olivaceus,Abrothrix olivaceus,Abrothrix olivaceus,27,1.208,125.563,NA,365,170.38,191.716,NA,156.794,24.377,NA,5.42,2.25,42.485,NA,23.464,NA,460.907,0.145,1815,0,2,0,NA,89,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,NA,NA,NA,0,Occurs on mainland,1,1,Neotropical,3
Rodentia,Cricetidae,Abrothrix,sanborni,Abrothrix sanborni,Abrothrix sanborni,24.7,0.929,155,NA,934.094,NA,81.72,NA,111.533,25.58,NA,3.747,3.482,31.444,NA,24.696,NA,478.556,0.138,NA,0,1,NA,NA,56,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,800,0,800,0,Occurs on mainland,0,1,Neotropical,1
Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,Acerodon celebensis,384.84,5.319,201.25,133.5,4947.861,NA,657.867,NA,801.61,157.206,NA,0.98,1.32,314.015,NA,145.912,NA,2390.332,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,1500,0,1500,1,Occurs only on isolated islands,1,0,Australasian,2
Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,Acerodon humilis,352.43,4.669,204.131,140,4464.094,NA,297.597,NA,408.384,144.65,NA,1.019,1.89,251.133,NA,132.285,NA,1689.421,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,NA,NA,NA,NA,Occurs only on isolated islands,NA,NA,Australasian,1
Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,Acerodon jubatus,1087.04,9.649,288.202,188.04,7320.342,NA,699.123,NA,866.685,166.645,NA,1,1,369.707,NA,146.257,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,1100,0,1100,1,Occurs only on isolated islands,0,0,Indomalayan,1
Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,Acerodon leucotis,352.07,4.436,200.724,139.95,3576.227,NA,290.314,NA,397.565,143.074,NA,1.035,1.912,247.309,NA,121.6,NA,1460,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Ar,1,0,0,0,1,NA,0,NA,1,Occurs only on isolated islands,1,0,Indomalayan,1
Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,Acerodon mackloti,467.93,5.231,210.389,145.5,4716.723,NA,398.571,NA,516.639,151.431,NA,0.98,1.754,257.6,NA,135.821,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,450,0,450,1,Occurs only on isolated islands,0,0,Australasian,2
Carnivora,Felidae,Acinonyx,jubatus,Acinonyx jubatus,Acinonyx jubatus,50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,0,1,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,G,3,0,0,1,0,4000,0,4000,NA,Occurs on mainland,NA,NA,"Afrotropical, Palearctic",4
Rodentia,Muridae,Acomys,airensis,Acomys airensis,Acomys airensis,45.2,1.655,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,721.899,1.425,NA,0,1,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,G,2,0,0,1,0,1000,NA,NA,NA,Occurs on mainland,NA,NA,Palearctic,3
Rodentia,Muridae,Acomys,cahirinus,Acomys cahirinus,Acomys cahirinus,45.2,0.76,175,NA,2731.417,51.9,58,59,103,38,NA,2.47,3.5,33.977,5.49,14,12.58,650.013,0.193,1900,0,1,0.001,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,NA,Occurs on mainland,NA,NA,"Afrotropical, Palearctic",3
Rodentia,Muridae,Acomys,cilicicus,Acomys cilicicus,Acomys cilicicus,48,1.065,175,NA,1460,NA,78.485,NA,110.544,33.712,NA,2.632,3.297,42.005,NA,21.053,NA,618.22,0.2,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,NA,Occurs on mainland,NA,NA,Palearctic,2
Rodentia,Muridae,Acomys,cineraceus,Acomys cineraceus,Acomys cineraceus,43.6,1.017,129.87,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,694.669,1.4,NA,0,1,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,G,2,0,0,1,0,2000,NA,NA,0,Occurs on mainland,1,0,Afrotropical,3
Rodentia,Muridae,Acomys,dimidiatus,Acomys dimidiatus,Acomys dimidiatus,45.2,1.081,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,690.787,0.193,NA,0,1,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,G,2,0,0,1,0,1200,300,900,NA,Occurs on mainland,NA,NA,Afrotropical,5
Rodentia,Muridae,Acomys,ignitus,Acomys ignitus,Acomys ignitus,45.2,1.905,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,697.053,1.425,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,NA,Occurs on mainland,NA,NA,Afrotropical,2
Rodentia,Muridae,Acomys,johannis,Acomys johannis,Acomys johannis,43.6,1.023,129.87,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,696.6,1.4,NA,0,1,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,G,2,0,0,1,0,1000,200,800,NA,Occurs on mainland,NA,NA,Afrotropical,3
Rodentia,Muridae,Acomys,kempi,Acomys kempi,Acomys kempi,43.6,1.902,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,698.158,1.4,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,700,NA,NA,0,Occurs on mainland,1,0,Afrotropical,2
Rodentia,Muridae,Acomys,louisae,Acomys louisae,Acomys louisae,27.085,2.911,175,NA,1674.596,NA,102.747,NA,135.523,33.973,NA,2.627,3.118,56.619,NA,28.115,NA,688.301,1.109,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,500,NA,NA,0,Occurs on mainland,0,0,Afrotropical,3
Rodentia,Muridae,Acomys,minous,Acomys minous,Acomys minous,45.2,0.988,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,685.623,0.193,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,1,G,2,0,0,1,0,NA,NA,NA,1,Occurs only on isolated islands,0,0,Palearctic,2
Rodentia,Muridae,Acomys,mullah,Acomys mullah,Acomys mullah,45.2,1.906,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,697.135,1.425,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,NA,Occurs on mainland,NA,NA,Afrotropical,2
Rodentia,Muridae,Acomys,muzei,Acomys muzei,Acomys spinosissimus,27.01,1.594,175,NA,1725.219,NA,96.406,NA,130.695,34.057,NA,2.71,3.271,49.748,NA,24.825,NA,676.973,1.108,331.042,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1800,NA,NA,NA,NA,NA,NA,Afrotropical,2
Rodentia,Muridae,Acomys,nesiotes,Acomys nesiotes,Acomys nesiotes,45.2,0.984,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,696.73,0.193,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,NA,Occurs only on isolated islands,NA,NA,Palearctic,1
Rodentia,Muridae,Acomys,ngurui,Acomys ngurui,Acomys spinosissimus,27.01,2.283,175,NA,1800.545,NA,102.616,NA,134.541,34.179,NA,2.71,3.171,53.489,NA,25.405,NA,702.788,1.108,331.042,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1100,350,750,NA,NA,NA,NA,Afrotropical,1
Rodentia,Muridae,Acomys,percivali,Acomys percivali,Acomys percivali,21.99,1.922,152.462,NA,1949.349,NA,98.731,NA,129.961,38.654,NA,2.505,3.208,50.708,NA,23.848,NA,700.197,1.001,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,0,Occurs on mainland,1,0,Afrotropical,3
Rodentia,Muridae,Acomys,russatus,Acomys russatus,Acomys russatus,54.915,1.073,111.08,NA,1825,91.308,91.308,NA,125.701,34.393,5,2.5,3.917,48.325,7,22.204,NA,673.581,1.568,2800,0,1,0,NA,20,40,40,20,0,0,0,40,0,0,0,10,30,3,3,G,2,0,0,1,0,NA,NA,NA,0,Occurs on mainland,1,0,Palearctic,1
Rodentia,Muridae,Acomys,selousi,Acomys selousi,Acomys spinosissimus,27.01,2.364,175,NA,1862.609,NA,101.272,NA,134.41,34.236,NA,2.71,3.161,53.238,NA,25.549,NA,716.054,1.108,331.042,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1800,NA,NA,NA,NA,NA,NA,Afrotropical,3
Rodentia,Muridae,Acomys,seurati,Acomys seurati,Acomys seurati,45.2,1.62,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,699.532,1.425,NA,0,1,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,G,2,0,0,1,0,2000,1000,1000,NA,Occurs on mainland,NA,NA,Palearctic,2
Rodentia,Muridae,Acomys,spinosissimus,Acomys spinosissimus,Acomys spinosissimus,27.01,2.364,175,NA,1862.609,NA,101.272,NA,134.41,34.236,NA,2.71,3.161,53.238,NA,25.549,NA,716.054,1.108,331.042,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1800,NA,NA,0,Occurs on mainland,0,0,Afrotropical,2
Rodentia,Muridae,Acomys,subspinosus,Acomys subspinosus,Acomys subspinosus,32.25,1.101,175,NA,1674.407,NA,78.554,NA,109.766,28.387,NA,3.848,3.708,45.193,NA,23.972,NA,622.743,0.16,4433.333,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,1000,NA,NA,0,Occurs on mainland,1,0,Afrotropical,2
Rodentia,Muridae,Acomys,wilsoni,Acomys wilsoni,Acomys wilsoni,20.96,0.58,127.38,NA,2044,NA,80.114,NA,111.635,38.827,NA,2.29,3.5,43.727,3.49,21.879,10,643.945,0.978,NA,0,1,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,0,Occurs on mainland,1,0,Afrotropical,3
Rodentia,Octodontidae,Aconaemys,fuscus,Aconaemys fuscus,Aconaemys fuscus,120.975,2.974,187,NA,1355.962,NA,230.493,NA,311.352,91.382,NA,3.23,2.095,103.756,NA,32.794,NA,842.583,0.332,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1,G,1,0,0,1,0,4000,NA,NA,0,Occurs on mainland,0,1,Neotropical,2
Rodentia,Octodontidae,Aconaemys,porteri,Aconaemys porteri,Aconaemys porteri,120.975,2.975,187,NA,1441.069,NA,235.973,NA,313.45,89.436,NA,3.23,2.049,105.366,NA,33.562,NA,856.789,0.332,NA,0,1,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,G,3,0,0,1,0,NA,NA,NA,NA,Occurs on mainland,NA,NA,Neotropical,2
Rodentia,Octodontidae,Aconaemys,sagei,Aconaemys sagei,Aconaemys sagei,96.49,2.257,187,NA,1471.152,NA,242.567,NA,317.828,88.109,NA,3.075,2.029,105.035,NA,31.597,NA,842.546,0.293,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1,G,3,0,0,1,0,NA,NA,NA,0,Occurs on mainland,0,1,Neotropical,2
Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Acrobates pygmaeus,Acrobates pygmaeus,13,0.874,76.5,NA,3212,272.11,240,365,212.91,31.953,4,3,2,148.398,0.018,99,5.65,997.966,0.097,899.99,0,2,0.006,25,80,0,20,80,0,0,0,0,0,0,10,0,10,1,2,Ar,1,0,0,1,0,1200,0,1200,0,Occurs on mainland,0,0,Australasian,1
Cetartiodactyla,Bovidae,Addax,nasomaculatus,Addax nasomaculatus,Addax nasomaculatus,94288.68,201.5,1700,NA,10293,947.495,947.495,NA,1066.86,276,4,1,1,357.255,5600,198,NA,2555,12.92,0,0,1,NA,12.62,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,NA,NA,NA,0,Occurs on mainland,0,0,Palearctic,1
Rodentia,Cricetidae,Aegialomys,galapagoensis,Aegialomys galapagoensis,Aegialomys galapagoensis,63.51,1.15,157.855,NA,608.333,NA,76.332,NA,105.793,26.319,NA,3.97,4.534,33.989,NA,22.286,NA,509.924,0.233,2290,0,1,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2,G,2,0,0,1,0,NA,NA,NA,NA,Occurs only on isolated islands,NA,NA,Neotropical,1
Rodentia,Cricetidae,Aegialomys,xanthaeolus,Aegialomys xanthaeolus,Aegialomys xanthaeolus,79.79,1.307,168,NA,982.19,NA,89.103,NA,118.741,27.248,NA,3.677,4.169,37.342,NA,23.524,NA,541.209,0.264,NA,0,1,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2,G,2,0,0,1,0,1800,500,1300,NA,Occurs on mainland,NA,NA,Neotropical,4
Rodentia,Cricetidae,Aepeomys,lugens,Aepeomys lugens,Aepeomys lugens,37,0.754,120,NA,1081.761,NA,63.781,NA,93.266,22.5,NA,4.253,3.484,25.719,NA,22.522,NA,408.236,0.173,NA,0,1,NA,NA,5,0,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,3500,1900,1600,0,Occurs on mainland,0,0,Neotropical,3
Rodentia,Cricetidae,Aepeomys,reigi,Aepeomys reigi,Aepeomys reigi,40.6,1.074,139.193,NA,1099.198,NA,80.548,NA,108.813,24.369,NA,3.789,3.36,31.944,NA,24.452,NA,506.457,0.182,NA,0,1,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,G,2,0,0,1,0,3230,1600,1630,NA,Occurs on mainland,NA,NA,Neotropical,3
Cetartiodactyla,Bovidae,Aepyceros,melampus,Aepyceros melampus,Aepyceros melampus,52500,173.567,1460,NA,9344,498.97,477.485,395,730,196.74,4,1,1,364.75,5304.2,167,15900,2674.112,9.363,9.937,0,1,1.97,15.25,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,2,0,0,1,0,1700,0,1700,0,Occurs on mainland,1,0,Afrotropical,2
Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Aepyprymnus rufescens,Aepyprymnus rufescens,2820,12.3,520,NA,4675.042,345.41,339.205,380,319.37,22.9,NA,1.015,3,115.921,NA,162.535,NA,1327.593,1.875,40,0,1,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,NA,NA,NA,0,Occurs on mainland,0,0,Australasian,2
Rodentia,Sciuridae,Aeretes,melanopterus,Aeretes melanopterus,Aeretes melanopterus,246.434,4.375,305,NA,2474.86,NA,339.322,NA,383.496,47.626,NA,2.394,1.692,154.063,NA,63.804,NA,1288.288,0.491,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,Ar,1,0,0,1,0,3000,NA,NA,NA,Occurs on mainland,NA,NA,Palearctic,1
Rodentia,Sciuridae,Aeromys,tephromelas,Aeromys tephromelas,Aeromys tephromelas,1187,10.34,384.93,NA,4522.806,NA,643.057,NA,707.202,64.793,NA,1.035,1.707,236.395,NA,76.696,NA,2012.47,1.165,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,30,0,30,30,3,2,Ar,1,0,0,1,0,NA,NA,NA,1,Occurs on mainland,1,0,Indomalayan,1
Rodentia,Sciuridae,Aeromys,thomasi,Aeromys thomasi,Aeromys thomasi,1430.19,10.258,383.25,NA,4807.734,NA,648.304,NA,719.812,62.397,NA,1.209,1.745,240.669,NA,77.029,NA,2043.064,1.291,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,30,0,30,30,3,1,Ar,1,0,0,1,0,1600,NA,NA,1,Occurs on large land bridge islands,1,0,Indomalayan,2
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,Aethalops aequalis,13.9,0.993,73,44,6022.714,NA,676.798,NA,802.593,152.2,NA,0.995,1.149,365,NA,91.739,NA,2379.162,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,Ar,1,0,0,0,1,NA,550,NA,1,Occurs on large land bridge islands,0,0,Indomalayan,2
Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,Aethalops alecto,15,0.718,73,46.49,4041.974,NA,544.183,NA,676.813,132.91,NA,0.99,1.59,274.531,NA,72.03,NA,1940.425,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,Ar,1,0,0,0,1,2700,1000,1700,1,Occurs on mainland,1,0,Indomalayan,1
Rodentia,Muridae,Aethomys,bocagei,Aethomys bocagei,Aethomys bocagei,63.854,1.294,184,NA,894.273,NA,106.386,NA,135.865,28.242,NA,3.083,3.11,46.556,NA,27.165,NA,606.456,0.233,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,20,0,20,60,3,1,G,1,0,0,1,0,NA,NA,NA,NA,Occurs on mainland,NA,NA,Afrotropical,2
