iucn2020_binomial,input_name
Ctenomys coludo,Ctenomys coludo
Ctenomys conoveri,Ctenomys conoveri
Ctenomys coyhaiquensis,Ctenomys coyhaiquensis
Ctenomys dorbignyi,Ctenomys dorbignyi
Ctenomys dorsalis,Ctenomys dorsalis
Ctenomys emilianus,Ctenomys emilianus
Ctenomys famosus,Ctenomys famosus
Ctenomys flamarioni,Ctenomys flamarioni
Ctenomys fochi,Ctenomys fochi
Ctenomys fodax,Ctenomys fodax
Ctenomys frater,Ctenomys budini
Ctenomys frater,Ctenomys frater
Ctenomys frater,Ctenomys sylvanus
Ctenomys fulvus,Ctenomys fulvus
Ctenomys goodfellowi,Ctenomys goodfellowi
Ctenomys haigi,Ctenomys haigi
Ctenomys ibicuiensis,Ctenomys ibicuiensis
Ctenomys johannis,Ctenomys johannis
Ctenomys juris,Ctenomys juris
Ctenomys knighti,Ctenomys knighti
Ctenomys lami,Ctenomys lami
Ctenomys latro,Ctenomys latro
Ctenomys leucodon,Ctenomys leucodon
Ctenomys lewisi,Ctenomys lewisi
Ctenomys magellanicus,Ctenomys magellanicus
Ctenomys maulinus,Ctenomys maulinus
Ctenomys mendocinus,Ctenomys mendocinus
Ctenomys minutus,Ctenomys minutus
Ctenomys occultus,Ctenomys occultus
Ctenomys opimus,Ctenomys opimus
Ctenomys osvaldoreigi,Ctenomys osvaldoreigi
Ctenomys pearsoni,Ctenomys pearsoni
Ctenomys perrensi,Ctenomys perrensi
Ctenomys peruanus,Ctenomys peruanus
Ctenomys pilarensis,Ctenomys pilarensis
Ctenomys pontifex,Ctenomys pontifex
Ctenomys porteousi,Ctenomys porteousi
Ctenomys pundti,Ctenomys pundti
Ctenomys rionegrensis,Ctenomys rionegrensis
Ctenomys roigi,Ctenomys roigi
Ctenomys saltarius,Ctenomys saltarius
Ctenomys scagliai,Ctenomys scagliai
Ctenomys sericeus,Ctenomys sericeus
Ctenomys sociabilis,Ctenomys sociabilis
Ctenomys steinbachi,Ctenomys steinbachi
Ctenomys talarum,Ctenomys talarum
Ctenomys torquatus,Ctenomys torquatus
Ctenomys tuconax,Ctenomys tuconax
Ctenomys tucumanus,Ctenomys tucumanus
Ctenomys tulduco,Ctenomys tulduco
Ctenomys validus,Ctenomys validus
Ctenomys viperinus,Ctenomys viperinus
Ctenomys yolandae,Ctenomys yolandae
Cuniculus paca,Cuniculus paca
Cuniculus taczanowskii,Cuniculus taczanowskii
Cuon alpinus,Cuon alpinus
Cuscomys ashaninka,Cuscomys ashaninka
Cuscomys oblativa,Cuscomys oblativa
Cyclopes didactylus,Cyclopes didactylus
Cynictis penicillata,Cynictis penicillata
Cynocephalus volans,Cynocephalus volans
Cynogale bennettii,Cynogale bennettii
Cynomops abrasus,Cynomops abrasus
Cynomops greenhalli,Cynomops greenhalli
Cynomops mexicanus,Cynomops mexicanus
Cynomops milleri,Cynomops milleri
Cynomops milleri,Cynomops paranus
Cynomops paranus,Cynomops paranus
Cynomops planirostris,Cynomops planirostris
Cynomys gunnisoni,Cynomys gunnisoni
Cynomys leucurus,Cynomys leucurus
Cynomys ludovicianus,Cynomys ludovicianus
Cynomys mexicanus,Cynomys mexicanus
Cynomys parvidens,Cynomys parvidens
Cynopterus brachyotis,Cynopterus brachyotis
Cynopterus horsfieldii,Cynopterus horsfieldii
Cynopterus luzoniensis,Cynopterus luzoniensis
Cynopterus minutus,Cynopterus minutus
Cynopterus nusatenggara,Cynopterus nusatenggara
Cynopterus sphinx,Cynopterus sphinx
Cynopterus titthaecheilus,Cynopterus titthaecheilus
Cystophora cristata,Cystophora cristata
Cyttarops alecto,Cyttarops alecto
Dacnomys millardi,Dacnomys millardi
Dactylomys boliviensis,Dactylomys boliviensis
Dactylomys dactylinus,Dactylomys dactylinus
Dactylomys peruanus,Dactylomys peruanus
Dactylonax palpator,Dactylonax palpator
Dactylonax palpator,Dactylopsila palpator
Dactylopsila megalura,Dactylopsila megalura
Dactylopsila tatei,Dactylopsila tatei
Dactylopsila trivirgata,Dactylopsila trivirgata
Dama dama,Dama dama
Dama mesopotamica,Dama dama
Dama mesopotamica,Dama mesopotamica
Damaliscus lunatus,Damaliscus korrigum
Damaliscus lunatus,Damaliscus lunatus
Damaliscus lunatus,Damaliscus superstes
Damaliscus pygargus,Damaliscus pygargus
Dasycercus blythi,Dasycercus blythi
Dasycercus blythi,Dasycercus cristicauda
Dasycercus cristicauda,Dasycercus cristicauda
Dasykaluta rosamondae,Dasykaluta rosamondae
Dasymys foxi,Dasymys foxi
Dasymys incomtus,Dasymys alleni
Dasymys incomtus,Dasymys cabrali
Dasymys incomtus,Dasymys incomtus
Dasymys incomtus,Dasymys rwandae
Dasymys incomtus,Dasymys sua
Dasymys montanus,Dasymys montanus
Dasymys nudipes,Dasymys nudipes
Dasymys rufulus,Dasymys rufulus
Dasyprocta azarae,Dasyprocta azarae
Dasyprocta coibae,Dasyprocta coibae
Dasyprocta croconota,Dasyprocta croconota
Dasyprocta croconota,Dasyprocta leporina
Dasyprocta fuliginosa,Dasyprocta fuliginosa
Dasyprocta guamara,Dasyprocta guamara
Dasyprocta iacki,Dasyprocta iacki
Dasyprocta kalinowskii,Dasyprocta kalinowskii
Dasyprocta leporina,Dasyprocta cristata
Dasyprocta leporina,Dasyprocta leporina
Dasyprocta mexicana,Dasyprocta mexicana
Dasyprocta prymnolopha,Dasyprocta prymnolopha
Dasyprocta punctata,Dasyprocta punctata
Dasyprocta ruatanica,Dasyprocta ruatanica
Dasyprocta variegata,Dasyprocta punctata
Dasyprocta variegata,Dasyprocta variegata
Dasypus hybridus,Dasypus hybridus
Dasypus kappleri,Dasypus kappleri
Dasypus novemcinctus,Dasypus novemcinctus
Dasypus pilosus,Dasypus pilosus
Dasypus sabanicola,Dasypus sabanicola
Dasypus septemcinctus,Dasypus septemcinctus
Dasypus yepesi,Dasypus yepesi
Dasyuroides byrnei,Dasyuroides byrnei
Dasyurus albopunctatus,Dasyurus albopunctatus
Dasyurus geoffroii,Dasyurus geoffroii
Dasyurus hallucatus,Dasyurus hallucatus
Dasyurus maculatus,Dasyurus maculatus
Dasyurus spartacus,Dasyurus spartacus
Dasyurus viverrinus,Dasyurus viverrinus
Daubentonia madagascariensis,Daubentonia madagascariensis
Delanymys brooksi,Delanymys brooksi
Delomys collinus,Delomys collinus
Delomys dorsalis,Delomys dorsalis
Delomys sublineatus,Delomys sublineatus
Delphinapterus leucas,Delphinapterus leucas
Delphinus capensis,Delphinus capensis
Delphinus capensis,Delphinus delphis
Delphinus delphis,Delphinus delphis
Deltamys kempi,Deltamys kempi
Dendrogale melanura,Dendrogale melanura
Dendrogale murina,Dendrogale murina
Dendrohyrax arboreus,Dendrohyrax arboreus
Dendrohyrax dorsalis,Dendrohyrax dorsalis
Dendrohyrax validus,Dendrohyrax arboreus
Dendrohyrax validus,Dendrohyrax validus
Dendrolagus bennettianus,Dendrolagus bennettianus
Dendrolagus dorianus,Dendrolagus dorianus
Dendrolagus goodfellowi,Dendrolagus goodfellowi
Dendrolagus inustus,Dendrolagus inustus
Dendrolagus lumholtzi,Dendrolagus lumholtzi
Dendrolagus matschiei,Dendrolagus matschiei
Dendrolagus mayri,Dendrolagus dorianus
Dendrolagus mayri,Dendrolagus mayri
Dendrolagus mbaiso,Dendrolagus mbaiso
Dendrolagus notatus,Dendrolagus dorianus
Dendrolagus notatus,Dendrolagus notatus
Dendrolagus pulcherrimus,Dendrolagus pulcherrimus
Dendrolagus scottae,Dendrolagus scottae
Dendrolagus spadix,Dendrolagus spadix
Dendrolagus stellarum,Dendrolagus stellarum
Dendrolagus ursinus,Dendrolagus ursinus
Dendromus insignis,Dendromus insignis
Dendromus kahuziensis,Dendromus kahuziensis
Dendromus kivu,Dendromus kivu
Dendromus lachaisei,Dendromus lachaisei
Dendromus lovati,Dendromus lovati
Dendromus melanotis,Dendromus leucostomus
Dendromus melanotis,Dendromus melanotis
Dendromus mesomelas,Dendromus mesomelas
Dendromus mesomelas,Dendromus nyasae
Dendromus messorius,Dendromus messorius
Dendromus mystacalis,Dendromus mystacalis
Dendromus nyikae,Dendromus nyikae
Dendromus oreas,Dendromus oreas
Dendromus ruppi,Dendromus ruppi
Dendromus vernayi,Dendromus vernayi
Dendroprionomys rousseloti,Dendroprionomys rousseloti
Deomys ferrugineus,Deomys ferrugineus
Dephomys defua,Dephomys defua
Dephomys defua,Dephomys eburneae
Dermanura anderseni,Artibeus anderseni
Dermanura anderseni,Dermanura anderseni
Dermanura azteca,Artibeus aztecus
Dermanura azteca,Dermanura azteca
Dermanura bogotensis,Artibeus glaucus
Dermanura bogotensis,Dermanura bogotensis
Dermanura bogotensis,Dermanura glauca
Dermanura cinerea,Artibeus cinereus
Dermanura cinerea,Dermanura cinerea
Dermanura cinerea,Dermanura cinereus
Dermanura glauca,Artibeus glaucus
Dermanura glauca,Dermanura glauca
Dermanura gnoma,Artibeus gnomus
Dermanura gnoma,Dermanura gnoma
Dermanura phaeotis,Artibeus phaeotis
Dermanura phaeotis,Dermanura phaeotis
Dermanura rava,Artibeus phaeotis
Dermanura rava,Dermanura phaeotis
Dermanura rava,Dermanura rava
Dermanura rosenbergi,Artibeus glaucus
Dermanura rosenbergi,Artibeus rosenbergii
Dermanura rosenbergi,Dermanura rosenbergi
Dermanura tolteca,Artibeus toltecus
Dermanura tolteca,Dermanura tolteca
Dermanura watsoni,Artibeus incomitatus
Dermanura watsoni,Artibeus watsoni
Dermanura watsoni,Dermanura watsoni
Desmalopex microleucopterus,Desmalopex microleucopterus
Desmana moschata,Desmana moschata
Desmodilliscus braueri,Desmodilliscus braueri
Desmodillus auricularis,Desmodillus auricularis
Desmodus rotundus,Desmodus rotundus
Desmomys harringtoni,Desmomys harringtoni
Desmomys yaldeni,Desmomys yaldeni
Diaemus youngi,Diaemus youngi
Dicerorhinus sumatrensis,Dicerorhinus sumatrensis
Diceros bicornis,Diceros bicornis
Diclidurus albus,Diclidurus albus
Diclidurus ingens,Diclidurus ingens
Diclidurus isabella,Diclidurus isabella
Diclidurus isabella,Diclidurus isabellus
Diclidurus scutatus,Diclidurus scutatus
Dicrostonyx groenlandicus,Dicrostonyx groenlandicus
Dicrostonyx hudsonius,Dicrostonyx hudsonius
Dicrostonyx nelsoni,Dicrostonyx nelsoni
Dicrostonyx nunatakensis,Dicrostonyx nunatakensis
Dicrostonyx richardsoni,Dicrostonyx richardsoni
Dicrostonyx torquatus,Dicrostonyx torquatus
Dicrostonyx unalascensis,Dicrostonyx unalascensis
Dicrostonyx vinogradovi,Dicrostonyx vinogradovi
Didelphis albiventris,Didelphis albiventris
Didelphis aurita,Didelphis aurita
Didelphis imperfecta,Didelphis imperfecta
Didelphis marsupialis,Didelphis marsupialis
Didelphis pernigra,Didelphis pernigra
Didelphis virginiana,Didelphis virginiana
Dinaromys bogdanovi,Dinaromys bogdanovi
Dinomys branickii,Dinomys branickii
Diomys crumpi,Diomys crumpi
Diphylla ecaudata,Diphylla ecaudata
Diplogale hosei,Diplogale hosei
Diplomesodon pulchellum,Diplomesodon pulchellum
Diplomys caniceps,Diplomys caniceps
Diplomys labilis,Diplomys labilis
Diplothrix legata,Diplothrix legata
Dipodomys agilis,Dipodomys agilis
Dipodomys californicus,Dipodomys californicus
Dipodomys compactus,Dipodomys compactus
Dipodomys deserti,Dipodomys deserti
Dipodomys elator,Dipodomys elator
Dipodomys gravipes,Dipodomys gravipes
Dipodomys heermanni,Dipodomys heermanni
Dipodomys ingens,Dipodomys ingens
Dipodomys merriami,Dipodomys insularis
Dipodomys merriami,Dipodomys margaritae
Dipodomys merriami,Dipodomys merriami
Dipodomys microps,Dipodomys microps
Dipodomys nelsoni,Dipodomys nelsoni
Dipodomys nitratoides,Dipodomys nitratoides
Dipodomys ordii,Dipodomys ordii
Dipodomys ornatus,Dipodomys ornatus
Dipodomys ornatus,Dipodomys phillipsii
Dipodomys panamintinus,Dipodomys panamintinus
Dipodomys phillipsii,Dipodomys phillipsii
Dipodomys simulans,Dipodomys simulans
Dipodomys spectabilis,Dipodomys spectabilis
Dipodomys stephensi,Dipodomys stephensi
Dipodomys venustus,Dipodomys venustus
Dipus sagitta,Dipus sagitta
Distoechurus pennatus,Distoechurus pennatus
Dobsonia anderseni,Dobsonia anderseni
Dobsonia beauforti,Dobsonia beauforti
Dobsonia chapmani,Dobsonia chapmani
Dobsonia crenulata,Dobsonia crenulata
Dobsonia emersa,Dobsonia emersa
Dobsonia exoleta,Dobsonia exoleta
Dobsonia inermis,Dobsonia inermis
Dobsonia magna,Dobsonia magna
Dobsonia magna,Dobsonia moluccensis
Dobsonia minor,Dobsonia minor
Dobsonia moluccensis,Dobsonia moluccensis
Dobsonia pannietensis,Dobsonia pannietensis
Dobsonia peronii,Dobsonia peronii
Dobsonia praedatrix,Dobsonia praedatrix
Dobsonia viridis,Dobsonia viridis
Dolichotis patagonum,Dolichotis patagonum
Dolichotis salinicola,Dolichotis salinicola
Dologale dybowskii,Dologale dybowskii
Dorcatragus megalotis,Dorcatragus megalotis
Dorcopsis atrata,Dorcopsis atrata
Dorcopsis hageni,Dorcopsis hageni
Dorcopsis luctuosa,Dorcopsis luctuosa
Dorcopsis muelleri,Dorcopsis muelleri
Dorcopsulus macleayi,Dorcopsulus macleayi
Dorcopsulus vanheurni,Dorcopsulus vanheurni
Dremomys everetti,Dremomys everetti
Dremomys gularis,Dremomys gularis
Dremomys lokriah,Dremomys lokriah
Dremomys pernyi,Dremomys pernyi
Dremomys pyrrhomerus,Dremomys pyrrhomerus
Dremomys rufigenis,Dremomys rufigenis
Dromiciops gliroides,Dromiciops gliroides
Dryadonycteris capixaba,Dryadonycteris capixaba
Drymoreomys albimaculatus,Drymoreomys albimaculatus
Dryomys laniger,Dryomys laniger
Dryomys niethammeri,Dryomys niethammeri
Dryomys nitedula,Dryomys nitedula
Dugong dugon,Dugong dugon
Dusicyon australis,Dusicyon australis
Dusicyon avus,Dusicyon avus
Dyacopterus brooksi,Dyacopterus brooksi
Dyacopterus rickarti,Not recognised
Dyacopterus spadiceus,Dyacopterus spadiceus
Dymecodon pilirostris,Dymecodon pilirostris
Echimys chrysurus,Echimys chrysurus
Echimys saturnus,Echimys saturnus
Echimys vieirai,Echimys vieirai
Echinops telfairi,Echinops telfairi
Echinosorex gymnura,Echinosorex gymnura
Echiothrix centrosa,Echiothrix centrosa
Echiothrix leucura,Echiothrix leucura
Echymipera clara,Echymipera clara
Echymipera davidi,Echymipera davidi
Echymipera echinista,Echymipera echinista
Echymipera kalubu,Echymipera kalubu
Echymipera rufescens,Echymipera rufescens
Ectophylla alba,Ectophylla alba
Eidolon dupreanum,Eidolon dupreanum
Eidolon helvum,Eidolon helvum
Eira barbara,Eira barbara
Elaphodus cephalophus,Elaphodus cephalophus
Elaphurus davidianus,Elaphurus davidianus
Elephantulus brachyrhynchus,Elephantulus brachyrhynchus
Elephantulus edwardii,Elephantulus edwardii
Elephantulus fuscipes,Elephantulus fuscipes
Elephantulus fuscus,Elephantulus fuscus
Elephantulus intufi,Elephantulus intufi
Elephantulus myurus,Elephantulus myurus
Elephantulus pilicaudus,Elephantulus pilicaudus
Elephantulus revoilii,Elephantulus revoili
Elephantulus revoilii,Elephantulus revoilii
Elephantulus rozeti,Elephantulus rozeti
Elephantulus rufescens,Elephantulus rufescens
Elephantulus rupestris,Elephantulus rupestris
Elephas maximus,Elephas maximus
Eligmodontia moreni,Eligmodontia moreni
Eligmodontia morgani,Eligmodontia morgani
Eligmodontia puerulus,Eligmodontia puerulus
Eligmodontia typus,Eligmodontia typus
Eliomys melanurus,Eliomys melanurus
Eliomys munbyanus,Eliomys munbyanus
Eliomys quercinus,Eliomys quercinus
Eliurus antsingy,Eliurus antsingy
Eliurus carletoni,Eliurus carletoni
Eliurus danieli,Eliurus danieli
Eliurus ellermani,Eliurus ellermani
Eliurus grandidieri,Eliurus grandidieri
Eliurus majori,Eliurus majori
Eliurus minor,Eliurus minor
Eliurus myoxinus,Eliurus myoxinus
Eliurus penicillatus,Eliurus penicillatus
Eliurus petteri,Eliurus petteri
Eliurus tanala,Eliurus tanala
Eliurus webbi,Eliurus webbi
Ellobius alaicus,Ellobius alaicus
Ellobius fuscocapillus,Ellobius fuscocapillus
Ellobius lutescens,Ellobius lutescens
Ellobius talpinus,Ellobius talpinus
Ellobius tancrei,Ellobius tancrei
Emballonura alecto,Emballonura alecto
Emballonura beccarii,Emballonura beccarii
Emballonura dianae,Emballonura dianae
Emballonura furax,Emballonura furax
Emballonura monticola,Emballonura monticola
Emballonura raffrayana,Emballonura raffrayana
Emballonura semicaudata,Emballonura semicaudata
Emballonura serii,Emballonura serii
Enchisthenes hartii,Enchisthenes hartii
Enhydra lutris,Enhydra lutris
Eoglaucomys fimbriatus,Eoglaucomys fimbriatus
Eolagurus luteus,Eolagurus luteus
Eolagurus przewalskii,Eolagurus przewalskii
Eonycteris major,Eonycteris major
Eonycteris robusta,Eonycteris robusta
Eonycteris spelaea,Eonycteris spelaea
Eospalax fontanierii,Eospalax fontanierii
Eospalax rothschildi,Eospalax rothschildi
Eospalax smithii,Eospalax smithii
Eothenomys cachinus,Eothenomys cachinus
Eothenomys chinensis,Eothenomys chinensis
Eothenomys custos,Eothenomys custos
Eothenomys melanogaster,Eothenomys melanogaster
Eothenomys miletus,Eothenomys miletus
Eothenomys olitor,Eothenomys olitor
Eothenomys proditor,Eothenomys proditor
Eothenomys wardi,Eothenomys wardi
Eozapus setchuanus,Eozapus setchuanus
Episoriculus caudatus,Episoriculus caudatus
Episoriculus fumidus,Episoriculus fumidus
Episoriculus leucops,Episoriculus leucops
Episoriculus macrurus,Episoriculus macrurus
Epixerus ebii,Epixerus ebii
Epomophorus angolensis,Epomophorus angolensis
Epomophorus anselli,Epomophorus anselli
Epomophorus crypturus,Epomophorus crypturus
Epomophorus gambianus,Epomophorus gambianus
Epomophorus grandis,Epomophorus grandis
Epomophorus labiatus,Epomophorus labiatus
Epomophorus minimus,Epomophorus minimus
Epomophorus minor,Epomophorus labiatus
Epomophorus minor,Epomophorus minor
Epomophorus wahlbergi,Epomophorus wahlbergi
Epomops buettikoferi,Epomops buettikoferi
Epomops dobsonii,Epomops dobsonii
Epomops franqueti,Epomops franqueti
Eptesicus anatolicus,Eptesicus bottae
Eptesicus andinus,Eptesicus andinus
Eptesicus bobrinskoi,Eptesicus bobrinskoi
Eptesicus bottae,Eptesicus bottae
Eptesicus brasiliensis,Eptesicus brasiliensis
Eptesicus chiriquinus,Eptesicus chiriquinus
Eptesicus diminutus,Eptesicus diminutus
Eptesicus dimissus,Eptesicus dimissus
Eptesicus floweri,Eptesicus floweri
Eptesicus furinalis,Eptesicus furinalis
Eptesicus fuscus,Eptesicus fuscus
Eptesicus gobiensis,Eptesicus gobiensis
Eptesicus guadeloupensis,Eptesicus guadeloupensis
Eptesicus hottentotus,Eptesicus hottentotus
Eptesicus innoxius,Eptesicus innoxius
Eptesicus isabellinus,Eptesicus isabellinus
Eptesicus isabellinus,Eptesicus serotinus
Eptesicus japonensis,Eptesicus japonensis
Eptesicus kobayashii,Eptesicus kobayashii
Eptesicus lobatus,Eptesicus lobatus
Eptesicus lobatus,Eptesicus serotinus
Eptesicus nilssonii,Eptesicus nilssonii
Eptesicus ognevi,Eptesicus bottae
Eptesicus pachyomus,Eptesicus pachyomus
Eptesicus pachyomus,Eptesicus serotinus
Eptesicus pachyotis,Eptesicus pachyotis
Eptesicus platyops,Eptesicus platyops
Eptesicus serotinus,Eptesicus serotinus
Eptesicus taddeii,Eptesicus taddeii
Eptesicus tatei,Eptesicus tatei
Equus africanus,Equus africanus
Equus africanus,Equus asinus
Equus ferus,Equus caballus
Equus ferus,Equus ferus
Equus grevyi,Equus grevyi
Equus hemionus,Equus hemionus
Equus kiang,Equus kiang
Equus quagga,Equus burchellii
Equus quagga,Equus quagga
Equus zebra,Equus zebra
Eremitalpa granti,Eremitalpa granti
Eremodipus lichtensteini,Eremodipus lichtensteini
Eremoryzomys polius,Eremoryzomys polius
Eremoryzomys polius,Oryzomys polius
Erethizon dorsatum,Erethizon dorsata
Erethizon dorsatum,Erethizon dorsatum
Erethizon dorsatum,Erethizon dorsatus
Erignathus barbatus,Erignathus barbatus
Erinaceus amurensis,Erinaceus amurensis
Erinaceus concolor,Erinaceus concolor
Erinaceus europaeus,Erinaceus europaeus
Erinaceus roumanicus,Erinaceus roumanicus
Eropeplus canus,Eropeplus canus
Erophylla bombifrons,Erophylla bombifrons
Erophylla sezekorni,Erophylla sezekorni
Erythrocebus baumstarki,Erythrocebus patas
Erythrocebus patas,Erythrocebus patas
Erythrocebus poliophaeus,Not recognised
Eschrichtius robustus,Eschrichtius robustus
Eubalaena australis,Eubalaena australis
Eubalaena glacialis,Eubalaena glacialis
Eubalaena japonica,Eubalaena japonica
Euchoreutes naso,Euchoreutes naso
Euderma maculatum,Euderma maculatum
Eudiscoderma thongareeae,Eudiscoderma thongareeae
Eudiscopus denticulus,Eudiscopus denticulus
Eudorcas albonotata,Eudorcas albonotata
Eudorcas albonotata,Eudorcas rufifrons
Eudorcas rufifrons,Eudorcas rufifrons
Eudorcas rufifrons,Eudorcas rufina
Eudorcas thomsonii,Eudorcas thomsoni
Eudorcas thomsonii,Eudorcas thomsonii
Eudorcas tilonura,Eudorcas rufifrons
Eudorcas tilonura,Eudorcas tilonura
Eulemur albifrons,Eulemur albifrons
Eulemur cinereiceps,Eulemur albocollaris
Eulemur cinereiceps,Eulemur cinereiceps
Eulemur collaris,Eulemur collaris
Eulemur coronatus,Eulemur coronatus
Eulemur flavifrons,Eulemur flavifrons
Eulemur flavifrons,Eulemur macaco
Eulemur fulvus,Eulemur fulvus
Eulemur macaco,Eulemur macaco
Eulemur mongoz,Eulemur mongoz
Eulemur rubriventer,Eulemur rubriventer
Eulemur rufifrons,Eulemur rufifrons
Eulemur rufifrons,Eulemur rufus
Eulemur rufus,Eulemur rufus
Eulemur sanfordi,Eulemur sanfordi
Eumetopias jubatus,Eumetopias jubatus
Eumops auripendulus,Eumops auripendulus
Eumops bonariensis,Eumops bonariensis
Eumops dabbenei,Eumops dabbenei
Eumops delticus,Eumops bonariensis
Eumops delticus,Eumops delticus
Eumops ferox,Eumops ferox
Eumops ferox,Eumops glaucinus
Eumops floridanus,Eumops floridanus
Eumops floridanus,Eumops glaucinus
Eumops glaucinus,Eumops glaucinus
Eumops hansae,Eumops hansae
Eumops maurus,Eumops maurus
Eumops nanus,Eumops bonariensis
Eumops nanus,Eumops nanus
Eumops patagonicus,Eumops patagonicus
Eumops perotis,Eumops perotis
Eumops trumbulli,Eumops trumbulli
Eumops underwoodi,Eumops underwoodi
Eumops wilsoni,Eumops glaucinus
Eumops wilsoni,Eumops wilsoni
Euneomys chinchilloides,Euneomys chinchilloides
Euneomys fossor,Euneomys fossor
Euneomys mordax,Euneomys mordax
Euneomys petersoni,Euneomys petersoni
Euoticus elegantulus,Euoticus elegantulus
Euoticus pallidus,Euoticus pallidus
Eupetaurus cinereus,Eupetaurus cinereus
Euphractus sexcinctus,Euphractus sexcinctus
Eupleres goudotii,Eupleres goudotii
Eupleres major,Eupleres goudotii
Eupleres major,Eupleres major
Euroscaptor grandis,Euroscaptor grandis
Euroscaptor klossi,Euroscaptor klossi
Euroscaptor longirostris,Euroscaptor longirostris
Euroscaptor micrura,Euroscaptor micrura
Euroscaptor mizura,Euroscaptor mizura
Euroscaptor parvidens,Euroscaptor parvidens
Euroscaptor subanura,Euroscaptor subanura
Euryoryzomys emmonsae,Euryoryzomys emmonsae
Euryoryzomys emmonsae,Oryzomys emmonsae
Euryoryzomys lamia,Euryoryzomys lamia
Euryoryzomys lamia,Oryzomys lamia
Euryoryzomys legatus,Euryoryzomys legatus
Euryoryzomys legatus,Oryzomys legatus
Euryoryzomys macconnelli,Euryoryzomys macconnelli
Euryoryzomys macconnelli,Oryzomys macconnelli
Euryoryzomys nitidus,Euryoryzomys nitidus
Euryoryzomys nitidus,Oryzomys nitidus
Euryoryzomys russatus,Euryoryzomys russatus
Euryoryzomys russatus,Oryzomys russatus
Euryzygomatomys spinosus,Euryzygomatomys spinosus
Eutamias sibiricus,Eutamias sibiricus
Eutamias sibiricus,Tamias sibiricus
Exilisciurus concinnus,Exilisciurus concinnus
Exilisciurus exilis,Exilisciurus exilis
Exilisciurus whiteheadi,Exilisciurus whiteheadi
Falsistrellus mackenziei,Falsistrellus mackenziei
Falsistrellus mordax,Falsistrellus mordax
Falsistrellus petersi,Falsistrellus petersi
Falsistrellus tasmaniensis,Falsistrellus tasmaniensis
Felis bieti,Felis bieti
Felis bieti,Felis silvestris
Felis chaus,Felis chaus
Felis margarita,Felis margarita
Felis nigripes,Felis nigripes
Felis silvestris,Felis silvestris
Felovia vae,Felovia vae
Feresa attenuata,Feresa attenuata
Feroculus feroculus,Feroculus feroculus
Fossa fossana,Fossa fossana
Fukomys anselli,Cryptomys anselli
Fukomys anselli,Fukomys anselli
Fukomys bocagei,Cryptomys bocagei
Fukomys bocagei,Fukomys bocagei
Fukomys damarensis,Cryptomys damarensis
Fukomys damarensis,Fukomys damarensis
Fukomys darlingi,Cryptomys darlingi
Fukomys darlingi,Fukomys darlingi
Fukomys foxi,Cryptomys foxi
Fukomys foxi,Fukomys foxi
Fukomys hanangensis,Not recognised
Fukomys ilariae,Fukomys ilariae
Fukomys kafuensis,Cryptomys kafuensis
Fukomys kafuensis,Fukomys kafuensis
Fukomys livingstoni,Not recognised
Fukomys mechowi,Cryptomys mechowi
Fukomys mechowi,Fukomys mechowi
Fukomys ochraceocinereus,Cryptomys ochraceocinereus
Fukomys ochraceocinereus,Fukomys ochraceocinereus
Fukomys vandewoestijneae,Cryptomys mechowi
Fukomys vandewoestijneae,Fukomys mechowi
Fukomys vandewoestijneae,Fukomys vandewoestijneae
Fukomys zechi,Cryptomys zechi
Fukomys zechi,Fukomys zechi
Funambulus layardi,Funambulus layardi
Funambulus obscurus,Funambulus sublineatus
Funambulus palmarum,Funambulus palmarum
Funambulus pennantii,Funambulus pennantii
Funambulus sublineatus,Funambulus sublineatus
Funambulus tristriatus,Funambulus tristriatus
Funisciurus anerythrus,Funisciurus anerythrus
Funisciurus bayonii,Funisciurus bayonii
Funisciurus carruthersi,Funisciurus carruthersi
Funisciurus congicus,Funisciurus congicus
Funisciurus duchaillui,Funisciurus duchaillui
Funisciurus duchaillui,Funisciurus isabella
Funisciurus isabella,Funisciurus isabella
Funisciurus lemniscatus,Funisciurus lemniscatus
Funisciurus leucogenys,Funisciurus leucogenys
Funisciurus pyrropus,Funisciurus pyrropus
Funisciurus substriatus,Funisciurus substriatus
Furipterus horrens,Furipterus horrens
Galago gallarum,Galago gallarum
Galago matschiei,Galago matschiei
Galago moholi,Galago moholi
Galago senegalensis,Galago senegalensis
Galagoides demidoff,Galago demidoff
Galagoides demidoff,Galagoides demidoff
Galagoides demidoff,Galagoides demidovii
Galagoides kumbirensis,Not recognised
Galagoides thomasi,Galago thomasi
Galagoides thomasi,Galagoides thomasi
Galea comes,Galea comes
Galea comes,Galea musteloides
Galea flavidens,Galea flavidens
Galea leucoblephara,Galea leucoblephara
Galea leucoblephara,Galea musteloides
Galea musteloides,Galea monasteriensis
Galea musteloides,Galea musteloides
Galea spixii,Galea spixii
Galemys pyrenaicus,Galemys pyrenaicus
Galenomys garleppi,Galenomys garleppi
Galeopterus variegatus,Galeopterus variegates
Galeopterus variegatus,Galeopterus variegatus
Galictis cuja,Galictis cuja
Galictis vittata,Galictis vittata
Galidia elegans,Galidia elegans
Galidictis fasciata,Galidictis fasciata
Galidictis grandidieri,Galidictis grandidieri
Gardnerycteris crenulatum,Gardnerycteris crenulatum
Gardnerycteris crenulatum,Mimon crenulatum
