order,family,genus,species,iucn2020_binomial,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,female_maturity_d,male_maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n
Rodentia,Abrocomidae,Abrocoma,vaccarum,Abrocoma vaccarum,Abrocoma vaccarum,221.82,NA,201,NA,395.417,NA,NA,NA,NA,112.269,NA,1.995,NA,NA,12.755,NA,NA,NA,0.463,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,G,1,0,0,1,0,3000,3000,0,NA,NA,NA,NA,Neotropical,1
Rodentia,Cricetidae,Abrothrix,andinus,Abrothrix andinus,Abrothrix andinus,34.65,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,0,NA,1,0,Neotropical,2
Rodentia,Cricetidae,Abrothrix,illutea,Abrothrix illutea,Abrothrix illutea,47.79,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199,NA,0,NA,NA,NA,55,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,2,0,0,1,0,2500,700,1800,0,NA,0,0,Neotropical,1
Rodentia,Cricetidae,Abrothrix,jelskii,Abrothrix jelskii,Abrothrix jelskii,34.5,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166,NA,0,1,NA,NA,30,0,70,30,0,0,0,0,0,0,0,0,70,2,2,G,2,0,0,1,0,5000,2200,2800,0,NA,1,0,Neotropical,4
Rodentia,Cricetidae,Abrothrix,lanosus,Abrothrix lanosus,Abrothrix lanosus,25.915,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142,NA,0,NA,NA,NA,45,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,2,0,0,1,0,NA,NA,NA,0,NA,0,1,Neotropical,2
Rodentia,Cricetidae,Abrothrix,longipilis,Abrothrix longipilis,Abrothrix longipilis,185,NA,159.67,NA,NA,51.73,63.003,NA,112.3,21.902,NA,4.845,4,22.734,3.145,NA,65.53,NA,0.419,1381.667,0,2,NA,NA,89,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,2,0,0,1,0,NA,NA,NA,0,NA,1,1,Neotropical,4
Rodentia,Cricetidae,Abrothrix,manni,Abrothrix manni,Not recognised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rodentia,Cricetidae,Abrothrix,olivaceus,Abrothrix olivaceus,Abrothrix olivaceus,27,NA,125.563,NA,365,170.38,191.716,NA,NA,NA,NA,5.42,2.25,NA,NA,NA,NA,NA,0.145,1815,0,2,0,NA,89,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,2,0,0,1,0,NA,NA,NA,0,NA,1,1,Neotropical,3
Rodentia,Cricetidae,Abrothrix,sanborni,Abrothrix sanborni,Abrothrix sanborni,24.7,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138,NA,0,NA,NA,NA,56,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,2,0,0,1,0,800,0,800,0,NA,0,1,Neotropical,1
Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,Acerodon celebensis,384.84,NA,201.25,133.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,1500,0,1500,1,NA,1,0,Australasian,2
Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,Acerodon humilis,352.43,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,Australasian,1
Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,Acerodon jubatus,1087.04,NA,NA,188.04,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,1100,0,1100,1,NA,0,0,Indomalayan,1
Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,Acerodon leucotis,352.07,NA,NA,139.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ar,1,0,0,0,1,NA,0,NA,1,NA,1,0,Indomalayan,1
Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,Acerodon mackloti,467.93,NA,NA,145.5,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,Ar,1,0,0,0,1,450,0,450,1,NA,0,0,Australasian,2
Carnivora,Felidae,Acinonyx,jubatus,Acinonyx jubatus,Acinonyx jubatus,50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,0,1,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,G,3,0,0,1,0,4000,0,4000,NA,NA,NA,NA,"Afrotropical, Palearctic",4
Rodentia,Muridae,Acomys,airensis,Acomys airensis,Acomys airensis,45.2,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,1.425,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,G,2,0,0,1,0,1000,NA,NA,NA,NA,NA,NA,Palearctic,3
Rodentia,Muridae,Acomys,cahirinus,Acomys cahirinus,Acomys cahirinus,45.2,0.76,175,NA,2731.417,51.9,58,59,103,38,NA,2.47,3.5,33.977,5.49,14,12.58,650.013,0.193,1900,0,NA,0.001,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,"Afrotropical, Palearctic",3
Rodentia,Muridae,Acomys,cilicicus,Acomys cilicicus,Acomys cilicicus,48,NA,175,NA,1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Palearctic,2
Rodentia,Muridae,Acomys,cineraceus,Acomys cineraceus,Acomys cineraceus,43.6,NA,129.87,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,1.4,NA,0,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,G,2,0,0,1,0,2000,NA,NA,0,NA,1,0,Afrotropical,3
Rodentia,Muridae,Acomys,dimidiatus,Acomys dimidiatus,Acomys dimidiatus,45.2,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,0.193,NA,NA,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,2,0,0,1,0,1200,300,900,NA,NA,NA,NA,Afrotropical,5
Rodentia,Muridae,Acomys,ignitus,Acomys ignitus,Acomys ignitus,45.2,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,1.425,NA,NA,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,NA,NA,NA,NA,Afrotropical,2
Rodentia,Muridae,Acomys,johannis,Acomys johannis,Acomys johannis,43.6,NA,129.87,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,1.4,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,G,2,0,0,1,0,1000,200,800,NA,NA,NA,NA,Afrotropical,3
Rodentia,Muridae,Acomys,kempi,Acomys kempi,Acomys kempi,43.6,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,1.4,NA,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,700,NA,NA,0,NA,1,0,Afrotropical,2
Rodentia,Muridae,Acomys,louisae,Acomys louisae,Acomys louisae,27.085,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.109,NA,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,500,NA,NA,0,NA,0,0,Afrotropical,3
Rodentia,Muridae,Acomys,minous,Acomys minous,Acomys minous,45.2,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,0.193,NA,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,1,G,2,0,0,1,0,NA,NA,NA,1,NA,0,0,Palearctic,2
Rodentia,Muridae,Acomys,mullah,Acomys mullah,Acomys mullah,45.2,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,1.425,NA,NA,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,NA,NA,NA,NA,Afrotropical,2
Rodentia,Muridae,Acomys,muzei,Acomys muzei,Acomys spinosissimus,27.01,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,1.108,331.042,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1800,NA,NA,NA,NA,NA,NA,Afrotropical,2
Rodentia,Muridae,Acomys,nesiotes,Acomys nesiotes,Acomys nesiotes,45.2,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,0.193,NA,NA,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Palearctic,1
Rodentia,Muridae,Acomys,ngurui,Acomys ngurui,Acomys spinosissimus,27.01,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,1.108,331.042,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1100,350,750,NA,NA,NA,NA,Afrotropical,1
Rodentia,Muridae,Acomys,percivali,Acomys percivali,Acomys percivali,21.99,NA,NA,NA,NA,NA,NA,NA,NA,38.654,NA,NA,NA,NA,NA,NA,NA,NA,1.001,NA,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,0,NA,1,0,Afrotropical,3
Rodentia,Muridae,Acomys,russatus,Acomys russatus,Acomys russatus,54.915,NA,111.08,NA,1825,91.308,91.308,NA,125.701,34.393,5,2.5,NA,NA,7,NA,NA,NA,1.568,2800,0,NA,0,NA,20,40,40,20,0,0,0,40,0,0,0,10,30,3,3,G,2,0,0,1,0,NA,NA,NA,0,NA,1,0,Palearctic,1
Rodentia,Muridae,Acomys,selousi,Acomys selousi,Acomys spinosissimus,27.01,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,1.108,331.042,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1800,NA,NA,NA,NA,NA,NA,Afrotropical,3
Rodentia,Muridae,Acomys,seurati,Acomys seurati,Acomys seurati,45.2,NA,175,NA,2731.417,58.5,58,59,96,38,NA,2.47,3.5,33.977,5.49,14,12.58,NA,1.425,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,G,2,0,0,1,0,2000,1000,1000,NA,NA,NA,NA,Palearctic,2
Rodentia,Muridae,Acomys,spinosissimus,Acomys spinosissimus,Acomys spinosissimus,27.01,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,1.108,331.042,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1800,NA,NA,0,NA,0,0,Afrotropical,2
Rodentia,Muridae,Acomys,subspinosus,Acomys subspinosus,Acomys subspinosus,32.25,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,4433.333,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,2,G,2,0,0,1,0,1000,NA,NA,0,NA,1,0,Afrotropical,2
Rodentia,Muridae,Acomys,wilsoni,Acomys wilsoni,Acomys wilsoni,20.96,0.58,127.38,NA,2044,NA,NA,NA,NA,38.827,NA,2.29,3.5,NA,3.49,NA,10,NA,0.978,NA,0,NA,NA,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,3,G,2,0,0,1,0,1000,NA,NA,0,NA,1,0,Afrotropical,3
Rodentia,Octodontidae,Aconaemys,fuscus,Aconaemys fuscus,Aconaemys fuscus,120.975,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,3.23,NA,NA,NA,NA,NA,NA,0.332,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1,G,1,0,0,1,0,4000,NA,NA,0,NA,0,1,Neotropical,2
Rodentia,Octodontidae,Aconaemys,porteri,Aconaemys porteri,Aconaemys porteri,120.975,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,3.23,NA,NA,NA,NA,NA,NA,0.332,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,G,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Neotropical,2
Rodentia,Octodontidae,Aconaemys,sagei,Aconaemys sagei,Aconaemys sagei,96.49,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293,NA,0,1,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1,G,3,0,0,1,0,NA,NA,NA,0,NA,0,1,Neotropical,2
Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Acrobates pygmaeus,Acrobates pygmaeus,13,NA,76.5,NA,3212,272.11,240,365,212.91,NA,4,3,2,148.398,0.018,99,5.65,997.966,0.097,899.99,0,NA,0.006,25,80,0,20,80,0,0,0,0,0,0,10,0,10,1,2,Ar,1,0,0,1,0,1200,0,1200,0,NA,0,0,Australasian,1
Cetartiodactyla,Bovidae,Addax,nasomaculatus,Addax nasomaculatus,Addax nasomaculatus,94288.68,201.5,1700,NA,10293,947.495,947.495,NA,1066.86,276,4,1,1,357.255,5600,198,NA,2555,12.92,0,0,1,NA,12.62,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,NA,NA,NA,0,NA,0,0,Palearctic,1
Rodentia,Cricetidae,Aegialomys,galapagoensis,Aegialomys galapagoensis,Aegialomys galapagoensis,63.51,NA,157.855,NA,608.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233,2290,NA,NA,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2,G,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Neotropical,1
Rodentia,Cricetidae,Aegialomys,xanthaeolus,Aegialomys xanthaeolus,Aegialomys xanthaeolus,79.79,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264,NA,NA,NA,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2,G,2,0,0,1,0,1800,500,1300,NA,NA,NA,NA,Neotropical,4
Rodentia,Cricetidae,Aepeomys,lugens,Aepeomys lugens,Aepeomys lugens,37,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173,NA,0,1,NA,NA,5,0,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,NA,0,0,1,0,3500,1900,1600,0,NA,0,0,Neotropical,3
Rodentia,Cricetidae,Aepeomys,reigi,Aepeomys reigi,Aepeomys reigi,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,NA,0,0,1,0,3230,1600,1630,NA,NA,NA,NA,Neotropical,3
Cetartiodactyla,Bovidae,Aepyceros,melampus,Aepyceros melampus,Aepyceros melampus,52500,173.567,1460,NA,9344,498.97,477.485,395,730,196.74,4,1,1,364.75,5304.2,167,15900,2674.112,9.363,9.937,0,1,1.97,15.25,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,2,0,0,1,0,1700,0,1700,0,NA,1,0,Afrotropical,2
Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Aepyprymnus rufescens,Aepyprymnus rufescens,2820,12.3,520,NA,4675.042,345.41,339.205,380,319.37,22.9,NA,1.015,3,115.921,NA,162.535,NA,1327.593,1.875,40,0,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1,G,1,0,0,1,0,NA,NA,NA,0,NA,0,0,Australasian,2
Rodentia,Sciuridae,Aeretes,melanopterus,Aeretes melanopterus,Aeretes melanopterus,246.434,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491,NA,NA,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ar,1,0,0,1,0,3000,NA,NA,NA,NA,NA,NA,Palearctic,1
Rodentia,Sciuridae,Aeromys,tephromelas,Aeromys tephromelas,Aeromys tephromelas,1187,10.34,384.93,NA,NA,NA,NA,NA,NA,NA,NA,1.035,NA,NA,NA,NA,NA,NA,1.165,NA,0,NA,NA,NA,10,0,90,10,0,0,0,0,0,30,0,30,30,3,2,Ar,1,0,0,1,0,NA,NA,NA,1,NA,1,0,Indomalayan,1
Rodentia,Sciuridae,Aeromys,thomasi,Aeromys thomasi,Aeromys thomasi,1430.19,NA,383.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.291,NA,0,NA,NA,NA,10,0,90,10,0,0,0,0,0,30,0,30,30,3,1,Ar,1,0,0,1,0,1600,NA,NA,1,NA,1,0,Indomalayan,2
Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,Aethalops aequalis,13.9,NA,73,44,NA,NA,NA,NA,NA,152.2,NA,0.995,NA,365,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ar,1,0,0,0,1,NA,550,NA,1,NA,0,0,Indomalayan,2
Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,Aethalops alecto,15,NA,73,46.49,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,Ar,1,0,0,0,1,2700,1000,1700,1,NA,1,0,Indomalayan,1
Rodentia,Muridae,Aethomys,bocagei,Aethomys bocagei,Aethomys bocagei,63.854,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,0,0,100,0,0,0,0,0,0,20,0,20,60,3,1,G,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,Afrotropical,2
Rodentia,Muridae,Aethomys,chrysophilus,Aethomys chrysophilus,Aethomys chrysophilus,79.7,1.25,162.76,NA,273.75,96.05,105.397,NA,138,25.716,NA,3.345,NA,NA,4.44,27.354,30.995,NA,0.264,476.744,0,NA,NA,NA,0,0,100,0,0,0,0,0,0,20,0,20,60,3,1,G,1,0,0,1,0,NA,NA,NA,0,NA,0,0,Afrotropical,3
Rodentia,Muridae,Aethomys,hindei,Aethomys hindei,Aethomys hindei,98.495,1.42,162.76,NA,1000.708,59.11,96.05,NA,121.766,25.716,NA,2.9,NA,NA,5.27,26.24,35.26,NA,0.296,2191.47,0,NA,0.001,NA,0,0,100,0,0,0,0,0,0,20,0,20,60,3,2,G,1,0,0,1,0,NA,NA,NA,0,NA,0,0,Afrotropical,3
Rodentia,Muridae,Aethomys,ineptus,Aethomys ineptus,Aethomys ineptus,80.85,NA,142,NA,273.75,105.397,105.397,NA,131.113,25.716,NA,3.345,NA,NA,4.44,27.354,30.995,NA,0.266,NA,0,NA,NA,NA,20,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,G,1,0,0,1,0,NA,NA,NA,0,NA,1,0,Afrotropical,3
