species,Synurbic,cites,Type of anth roosting structure,Reference 1,Reference 2,Reference 3,Complete,Reference No,Year(s) of Pub,Comments,
Eptesicus floweri,NA,0,,,,,yes,NA,NA,"leaving as NA, little known about ecology, sparse records",
Eptesicus furinalis,1,10,"within walls or floors, behind window shutters, between beams of porch",https://doi.org/10.2307/3504316,,,yes,150,1996,,
Eptesicus fuscus,1,514,"walls, boxed-in eaves, barnes, attics, houses, churches","Nowak 1994, pg 197",https://doi.org/10.2307/3504258,,yes,"1, 151","1994, 1990",,
Eptesicus gobiensis,1,0,"buidlings, ancient salt mines",https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T41531A22004381.en,10.37520/jnmpnhs.2021.004,,yes,"152, 153","2018, 2021",,
Eptesicus guadeloupensis,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,assumed to be tree roosting,
Eptesicus hottentotus,1,3,"mines, buildings",http://doi.org/10.5281/zenodo.6397752,Skinner and Chimimba 2005,,yes,"154, 132","2019, 2005",,
Eptesicus innoxius,1,0,attics and roofs of unihabitied buildlings,https://revistas.uees.edu.ec/index.php/IRR/article/view/172,http://doi.org/10.5281/zenodo.6397752,,yes,"155, 154","2018, 2019",,
Eptesicus isabellinus,1,10,"bridges, buildings",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Eptesicus japonensis,1,0,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Eptesicus kobayashii,NA,0,,,,,yes,NA,NA,"leaving as NA, little known about ecology, data deficient",
Eptesicus lobatus,1,0,"window sills, window frames, and ceilings ",https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T85200388A85200399.en,,,yes,156,2019,,
Eptesicus nasutus,1,0,crevices of walls and behind stones of ruined buildings,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T7935A22117147.en,,,yes,157,2019,,
Eptesicus nilssonii,1,19,"houses, cellar",https://doi.org/10.2307/3504128,,,yes,158,1993,,
Eptesicus pachyomus,1,0,buildings,https://www.kfbg.org/images/download/Bat-Report---Asian-Serotine-Bat-new-location-record-20180201-(003).pdf,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T85200202A85200236.en,,yes,"159, 160","2018, 2019",,
Eptesicus pachyotis,0,0,NA,https://www.cabdirect.org/cabdirect/abstract/20013098801,http://doi.org/10.5281/zenodo.6397752,,yes,"161, 154","2001, 2019",tree hollows and clefts,
Eptesicus platyops,NA,0,,,,,yes,NA,NA,"leaving as NA, little known about ecology, data deficient",
Eptesicus serotinus,1,79,"attics, voids behind sheathing and shutters, ventilation shafts of buildings or joints in bridges",https://www.iucnredlist.org/species/85199559/195834153,,,yes,162,2021,,
Eptesicus tatei,NA,0,,,,,yes,NA,NA,"leaving as NA, little known about ecology, data deficient",
Erophylla bombifrons,0,1,NA,"Nowak 1994, pg 172",,,yes,1,1994,,
Erophylla sezekorni,0,5,NA,"Nowak 1994, pg 172",,,yes,1,1994,,
Euderma maculatum,0,5,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Eudiscoderma thongareeae,1,0,house,https://www.iucnredlist.org/species/80263386/95642210,,,yes,163,2017,one instance it was found in a house.,
Eudiscopus denticulus,0,1,NA,https://www.iucnredlist.org/species/8168/22028419,,,yes,164,2016,,
Eumops auripendulus,1,2,"corrugated iron roof, attic",https://doi.org/10.1644/0.708.1,,,yes,165,2002,,
Eumops bonariensis,1,1,"iron roof, under bridges",http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Eumops chiribaya,1,0,buildings,"Norwak 1994, pg 243",,,yes,1,1994,"Based on genus description, only two accounts of this species ",
Eumops dabbenei,1,0,house,https://doi.org/10.1644/0.707.1,,,yes,166,2002,,
Eumops ferox,1,0,under roof shingles,https://www.iucnredlist.org/species/87994072/87994075,,,yes,167,2019,,
Eumops floridanus,1,0,under shingles of spanish-like tile,"Harvey 2011, pg 104",,,yes,96,2011,,
Eumops glaucinus,1,6,under shingles of spanish-like tile,https://doi.org/10.2307/3504261,,,yes,168,1997,,
Eumops hansae,0,0,NA,https://doi.org/10.2307/0.687.1,,,yes,169,2001,,
Eumops maurus,1,1,15 story apartment,https://doi.org/10.1590/S0101-81752008000200027,,,yes,170,2008,,
Eumops patagonicus,1,2,Buildings ,"Norwak 1994, pg 243",http://doi.org/10.5281/zenodo.6418279,,yes,"1, 99","1994, 2019","Based on genus description, very little information available none on roosting.",
Eumops perotis,1,7,Buildings,https://doi.org/10.2307/3504077,,,yes,171,1996,,
Eumops trumbulli,1,0,"Buildings, roofs",http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Eumops underwoodi,0,0,NA,"Harvey 2011, pg 108",,,yes,96,2011,,
Eumops wilsoni,1,0,church,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Falsistrellus affinis,1,0,Roofs of buildings,https://www.iucnredlist.org/species/17324/22131594,,,yes,172,2019,Now known as Hypsugo affinis,
Falsistrellus mackenziei,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,hollow log roosting,
Falsistrellus mordax,NA,0,,,,,yes,NA,NA,"leaving as NA, little known about ecology, data deficient",
Falsistrellus petersi,1,0,Eaves of house,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,Hypsugo petersi,
Falsistrellus tasmaniensis,1,0,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Furipterus horrens,0,2,NA,"Nowak 1994, pg 180",https://www.iucnredlist.org/species/8771/21971535,,yes,"1, 173","1994, 2016",,
Glauconycteris alboguttata,0,0,NA,"Nowak 1994, pg 206",,,yes,NA,NA,Based on genus trends,
Glauconycteris argentata,0,0,NA,http://doi.org/10.5281/zenodo.6397752,"Nowak 1994, pg 206",,yes,154,2019,,
Glauconycteris beatrix,0,2,NA,https://www.iucnredlist.org/species/44791/22068514,"Nowak 1994, pg 206",,yes,174,2017,,
Glauconycteris curryae,NA,1,,,,,yes,NA,NA,Based on genus trends,
Glauconycteris egeria,0,0,NA,"Nowak 1994, pg 206",,,yes,1,1994,Based on genus trends,
Glauconycteris gleni,0,0,NA,"Nowak 1994, pg 206",,,yes,1,1994,Based on genus trends,
Glauconycteris humeralis,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T44795A22070303.en,,,yes,175,2019,"Based off genus trends. IUCN says it is presumed to roost in vegetation and hollow trees, similar to the genus",
Glauconycteris kenyacola,0,0,NA,"Nowak 1994, pg 206",,,yes,1,1994,"Based off genus trends, only one specimen",
Glauconycteris machadoi,NA,0,,,,,yes,NA,NA,Based on genus trends,
Glauconycteris poensis,0,2,NA,"Nowak 1994, pg 206",https://www.iucnredlist.org/species/44798/22069513,,yes,176,2017,,
Glauconycteris superba,0,1,NA,"Nowak 1994, pg 206",,,yes,1,1994,"leaving as NA, little known about ecology, data deficient",
Glauconycteris variegata,1,0,Thached roofs of abandond huts,https://www.iucnredlist.org/species/44800/22069727,,,yes,177,2017,,
Glischropus aquilus,0,0,NA,"Nowak 1994, pg 197",,,yes,1,1994,"Based off of genus trends, very short google scholar history",
Glischropus bucephalus,0,0,NA,"Nowak 1994, pg 197",http://doi.org/10.5281/zenodo.6397752,,yes,"1, 154","1994, 2019",,
Glischropus javanus,0,0,NA,"Nowak 1994, pg 197",,,yes,1,1994,"Based off genus trends, very little on google scholar",
Glischropus tylopus,0,1,NA,"Nowak 1994, pg 197",,,yes,1,1994,,
Glossophaga commissarisi,1,7,houses,http://doi.org/10.5281/zenodo.6458594,"Nowak 1994, pg 140",,yes,"41, 1","2019, 1994",,
Glossophaga leachii,1,0,buildings and culverts,"Nowak 1994, pg 140",http://doi.org/10.5281/zenodo.6397752,,yes,"41, 1","2019, 1994",,
Glossophaga longirostris,1,5,"buildings, houses, culverts, tunnels",http://doi.org/10.5281/zenodo.6458594,https://doi.org/10.2307/3504435,,yes,"41, 178","2019, 1998",,
Glossophaga morenoi,1,0,"culverts, wells and buildings",http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Glossophaga soricina,1,109,"tunnels, abandond mines, culverts, underbridges, buildings",https://doi.org/10.2307/3504146,,,yes,179,1991,,
Glyphonycteris behnii,NA,0,,,,,yes,NA,NA,"IUCN says it is poorly known, not in Nowak 1994",
Glyphonycteris daviesi,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"not in Nowak 1994, data deficient",
Glyphonycteris sylvestris,0,1,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,"not in Nowak 1994, data deficient",
Haplonycteris fischeri,0,2,NA,https://philippines.fieldmuseum.org/natural-history/narrative/4127,,,yes,180,No Date,Roosts in old tree hollows and under moss draped branches,
Harpiocephalus harpia,0,2,NA,"Nowak 1994, pg 224",,,yes,1,1994,Suspected to roost in vegetation,
Harpiocephalus mordax,0,0,NA,"Nowak 1994, pg 224",,,yes,1,1994,Suspected to roost in vegetation,
Harpiola grisea,NA,0,,,,,yes,NA,NA,data deficient ,
Harpiola isodon,NA,0,,,,,yes,NA,NA,no roosting information found,
Harpyionycteris celebensis,NA,0,,,,,yes,NA,NA,"Roosting ecology unknown but suspected to not be cave roosting, few individuals found",
Harpyionycteris whiteheadi,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Hesperoptenus blanfordi,0,1,NA,"Nowak 1994, pg 205",,,yes,1,1994,Based on genus traits,
Hesperoptenus doriae,0,0,NA,"Nowak 1994, pg 205",https://www.iucnredlist.org/species/9976/22076446,,yes,"1, 181","2020, 1994",,
Hesperoptenus gaskelli,0,0,NA,"Nowak 1994, pg 205",,,yes,1,1994,"Based on genus traits, only one specimen examined",
Hesperoptenus tickelli,0,0,NA,"Nowak 1994, pg 205",https://www.iucnredlist.org/species/9978/22075896,,yes,182,2019,,
Hesperoptenus tomesi,0,0,NA,"Nowak 1994, pg 205",,,yes,1,1994,"Based on genus traits, roosting information not found",
Hipposideros abae,0,1,NA,https://www.iucnredlist.org/species/10109/22097582,,,yes,183,2017,,
Hipposideros alongensis,0,0,NA,https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T80224880A95642200.en,,,yes,184,2019,cave roosting,
Hipposideros armiger,1,44,"lofts of houses, verandahs of old houses, old temples",https://www.iucnredlist.org/species/10110/22097743,,,yes,185,2020,,
Hipposideros ater,1,1,"buildings, mines, tunnels, culverts, wells",https://www.iucnredlist.org/species/10111/3164225,,,yes,186,2021,,
Hipposideros beatus,1,1,road culverts,https://www.iucnredlist.org/species/10112/22098184,,,yes,187,2017,,
Hipposideros bicolor,0,6,NA,https://www.iucnredlist.org/species/80258800/22095301,,,yes,188,2020,,
Hipposideros boeadii,NA,0,,,,,yes,NA,NA,"Considered Data Deficient by IUCN with no information on roosting, leave as NA",
Hipposideros breviceps,0,0,NA,https://www.iucnredlist.org/species/10114/22094935,,,yes,189,2016,Considered Data Deficient by IUCN but presumed to live in in caves,
Hipposideros caffer,1,8,buildings,https://www.iucnredlist.org/species/80459007/22094271,,,yes,190,2019,,
Hipposideros calcaratus,1,0,tunnels,https://www.iucnredlist.org/species/10116/22094185,,,yes,191,2021,,
Hipposideros camerunensis,NA,0,,,,,yes,NA,NA,"Considered data deficient as of 2018, leaving as NA",
Hipposideros cervinus,1,2,abandoned mines,https://www.iucnredlist.org/species/10118/22093732,,,yes,192,2021,,
Hipposideros cineraceus,0,1,NA,https://www.iucnredlist.org/species/10119/22093106,,,yes,193,2019,,
Hipposideros commersoni,0,6,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros coronatus,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,"Data deficient, may be cave dwelling",
Hipposideros corynophyllus,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,"Data deficient, suggested similarities to H. wollastons",
Hipposideros coxi,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros crumeniferus,NA,0,,,,,yes,NA,NA,"Data deficient, no roosting infomation, leave as NA",
Hipposideros curtus,1,0,house,https://www.iucnredlist.org/species/10125/22096364,,,yes,195,2020,One individual found in a house,
Hipposideros cyclops,1,5,"house, church belfry, disused mine",https://doi.org/10.2307/3504339,,,yes,196,2005,,
Hipposideros demissus,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros diadema,1,9,buildings and underground chambers,https://www.iucnredlist.org/species/10128/22095445,,,yes,197,2021,,
Hipposideros dinops,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros doriae,NA,0,,,,,yes,NA,NA,,
Hipposideros durgadasi,0,1,NA,https://www.iucnredlist.org/species/10131/22090631,,,yes,198,2016,,
Hipposideros dyacorum,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros edwardshilli,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros einnaythu,1,0,house roof,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,Considered data deficient but found to roost in houses on several accounts,
Hipposideros fuliginosus,0,1,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros fulvus,1,7,"old buildings, cellars, forts, old wells",https://www.iucnredlist.org/species/10135/22089934,,,yes,199,2019,,
Hipposideros galeritus,1,2,"old mines, culverts and crevices in old buildings, caves, among large boulders, overhanging ledges, tunnels, dungeons, forts, temples and churches",https://www.iucnredlist.org/species/10136/22090092,,,yes,200,2019,,
Hipposideros gigas,0,3,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,Name updated to Macronycteris gigas,
Hipposideros grandis,NA,0,,,,,yes,NA,NA,"No roosting information specific to this species found, leaving as NA",
Hipposideros griffini,0,0,old mines,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros halophyllus,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros hypophyllus,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros inexpectatus,0,0,NA,https://www.iucnredlist.org/species/10139/22092281,,,yes,201,2016,Data deficent but thought that they are cave roosting ,
Hipposideros inornatus,1,0,disused mines,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros jonesi,1,0,disused mines,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros khaokhouayensis,NA,0,,,,,yes,NA,NA,IUCN - roosting sites are unknown,
Hipposideros lamottei,1,0,mine adits,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros lankadiva,1,3,"old disused tunnels, old temples, old forts, dark deep channels under dam sites and cellars under old buildings",https://www.iucnredlist.org/species/10142/22092089,,,yes,202,2020,,
Hipposideros larvatus,1,17,"mineshafts, pagodas, and buildings",https://www.iucnredlist.org/species/85646564/22091287,,,yes,203,2020,,
Hipposideros lekaguli,0,1,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros lylei,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros macrobullatus,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,Considered data deficient but thought to roost in caves and tree hollows,
Hipposideros madurae,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros maggietaylorae,1,0,"mines, tunnels",http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros marisae,1,0,disused mine adits,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros megalotis,1,0,house,https://www.iucnredlist.org/species/10150/22101286,,,yes,204,2017,,
Hipposideros muscinus,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros nequam,NA,0,,,,,yes,NA,NA,"No information on IUCN, less than 3 pages on google scholar when looking for roosting ecology",
Hipposideros obscurus,1,0,mine shaft,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros orbiculus,NA,0,,,,,yes,NA,NA,"No description of roosting ecology found, 2 pages on google scholar, IUCN does not mention roosting ecology",
Hipposideros papua,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros pelingensis,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros pendelburyi,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros pomona,1,13,disused wells,https://doi.org/10.11609/jott.4111.10.8.12018-12026,,,yes,205,2018,,
Hipposideros pratti,0,18,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros pygmaeus,0,1,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros ridleyi,1,0,"Drainage pipes, old houses",http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros rotalis,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros ruber,1,3,"old mines, culverts under roads, abandoned houses",http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros scutinares,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros semoni,1,0,"mines, old buildings, culverts under roads",http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros sorenseni,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros speoris,1,10,"underground cellars, old forts, palaces, under bridges, old disused buildings, temples, tunnels",http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros stenotis,1,0,"road culverts, old mines",https://www.iucnredlist.org/species/10163/22099463,,,yes,206,2021,,
Hipposideros sumbae,1,0,roofs of houses,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros thomensis,1,0,old water mine,https://doi.org/10.1016/j.mambio.2010.11.007,,,yes,207,2011,,
Hipposideros turpis,1,1,abandoned mines and bomb shelters,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Hipposideros vittatus,1,2,under the eaves of buildings,Skinner and Chimimba 2005,,,yes,132,2005,,
Hipposideros wollastoni,0,0,NA,http://doi.org/10.5281/zenodo.3739808,,,yes,194,2019,,
Histiotus alienus,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology unknown, data deficient",
Histiotus humboldti,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology unknown, data deficient, one paper mentions being caught on a house but was not clear that it flew from the house (http://revista.rebibio.net/v6n12/v06n12a01a.html)",
Histiotus laephotis,1,0,wooded storage barn,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Histiotus macrotus,1,1,"mines, houses","Nowak 1994, pg 201",http://doi.org/10.5281/zenodo.6397752,,yes,"1,  154","1994, 2019",,
Histiotus magellanicus,0,0,NA,https://doi.org/10.1111/aec.12950,,,yes,208,2020,DOI doesn't work (https://onlinelibrary.wiley.com/doi/abs/10.1111/aec.12950?casa_token=U2Dh307GGOoAAAAA:KiRpgUaoqUn5RFw8s12xXd82gGzzp5hHhkCDN5RAjtXl-PlMMzVIo6mZ6oeXiwb9j6gXTE51Amtc9A),
Histiotus montanus,1,5,houses,"Nowak 1994, pg 201",https://www.iucnredlist.org/species/10202/22098875,,yes,"1, 209","1994, 2016",,
Histiotus velatus,1,5,churches and roofs,"Nowak 1994, pg 201",http://doi.org/10.5281/zenodo.6397752,,yes,"1, 154","1994, 2019",,
Hsunycteris cadenai,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology unknown, data deficient",
Hsunycteris pattoni,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology unknown, data deficient",
Hsunycteris thomasi,0,0,NA,https://digitallibrary.amnh.org/handle/2246/1634,,,yes,210,1998,hollow logs and fallen trees,
Hylonycteris underwoodi,1,4,tunnel,"Nowak 1994, pg 147",,,yes,1,1994,,
Hypsignathus monstrosus,0,17,NA,"Nowak 1994, pg 63",,,yes,1,1994,,
Hypsugo anchietae,0,0,NA,https://www.researchgate.net/publication/263389894,,,yes,211,2013,indiv found roosting in tree,
Hypsugo bemainty,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology not known",
Hypsugo dolichodon,0,1,NA,http://doi.org/10.5281/zenodo.6397752,https://doi.org/10.3161/15081109ACC2018.20.2.002,,yes,"154, 212","2019, 2019",cave roosting,
Hypsugo lanzai,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology not known",
Ia io,0,12,NA,"Nowak 1994, pg 199",https://www.iucnredlist.org/species/10755/21993508,,yes,"1, 213","1994, 2020",,
Idionycteris phyllotis,1,0,mine shaft,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Kerivoula africana,0,0,NA,https://doi.org/10.1515/mamm.1998.62.1.53,,,yes,214,1998,found a roost in epiphytes,
Kerivoula agnella,NA,0,,,,,yes,NA,NA,"leaving as NA, roosting ecology not known",
Kerivoula argentata,1,0,"under eaves of huts, on walls sheltered by eaves of a rondavel",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Kerivoula cuprosa,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Kerivoula eriophora,NA,0,,,,,yes,NA,NA,"Data deficitient, no roosting info, leaving as NA",
Kerivoula flora,NA,0,,,,,yes,NA,NA,"No roosting info, leaving as NA",
Kerivoula hardwickii,1,7,houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,"tree, unfurled leaf, and carnivorous pitcher plant roosting",
Kerivoula intermedia,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown, leaving as NA",
Kerivoula kachinensis,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown, leaving as NA",
Kerivoula krauensis,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown, leaving as NA",
Kerivoula lanosa,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Kerivoula lenis,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown, leaving as NA",
Kerivoula minuta,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown/could not locate, leaving as NA",
Kerivoula muscina,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,Found in rolled banana leaf,
Kerivoula myrella,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown/could not locate, leaving as NA",
Kerivoula papillosa,NA,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,tree hollow roosting,
Kerivoula pellucida,0,1,NA,http://doi.org/10.5281/zenodo.6397752,https://doi.org/10.11646/zootaxa.4755.3.2,,yes,"154, 215","2019, 2020",roosts in dead leaves,
Kerivoula phalaena,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown/could not locate, leaving as NA",
Kerivoula picta,1,0,huts and buildings,"Nowak 1994, pg 226",,,yes,1,1994,,
Kerivoula smithii,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown/could not locate, leaving as NA, rare species",
Kerivoula titania,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown/could not locate, leaving as NA, recently described species",
Kerivoula whiteheadi,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,"Roosts in foilage, under dead leafs",
Laephotis angolensis,NA,0,,,,,yes,NA,NA,"No information on roosting sites, keeping as NA",
Laephotis botswanae,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Laephotis namibensis,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Laephotis wintoni,0,1,NA,https://doi.org/10.3161/1733-5329(2005)7[101:FAREOA]2.0.CO;2,,,yes,216,2005,fissures and crevices in clif,
Lampronycteris brachyotis,1,1,mines and old buildings,https://www.iucnredlist.org/species/13376/22131330,,,yes,217,2018,,
Lasionycteris noctivagans,1,52,"buildings, under loose boards of buildings","Nowak 1994, pg 191-192",,,yes,1,1994,,
Lasiurus atratus,0,0,NA,https://www.iucnredlist.org/species/29607/22046087,,,yes,218,2019,"IUCN mentions that they might roost in hollow trees, seems consistent with the genus",
Lasiurus blossevillii,1,3,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Lasiurus borealis,0,46,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Lasiurus castaneus,NA,0,,,,,yes,NA,NA,"Roosting ecology unkown/could not locate, leaving as NA, recently described species",
Lasiurus cinereus,1,61,overhangs of buildings,https://doi.org/10.2307/3503878,,,yes,219,1982,name of paper is spelled incorrectly on mammalian species but correct on the document,
Lasiurus degelidus,0,0,NA,https://www.iucnredlist.org/species/136306/22018027,,,yes,220,2016,Assumed to be tree roositng,
Lasiurus ebenus,NA,0,,,,,yes,NA,NA,"considered data deficient with poorly known natural history, leaving as NA",
Lasiurus ega,1,7,cervices in buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Lasiurus egregius,NA,0,,,,,yes,NA,NA,"data deficient, roosting sites unknown",
Lasiurus insularis,0,0,NA,https://www.iucnredlist.org/species/136754/22036556,,,yes,221,2016,suspected to be similar to L. intermedius,
Lasiurus intermedius,0,1,NA,https://doi.org/10.2307/3503980,,,yes,222,1980,,
Lasiurus minor,0,0,NA,https://www.iucnredlist.org/species/136627/21987501,,,yes,223,2016,,
Lasiurus pfeifferi,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Lasiurus seminolus,0,2,NA,"Harvey 2011, pg 130",,,yes,132,2011,,
Lasiurus varius,0,0,NA,https://doi.org/10.1093/mspecies/sez016,,,yes,224,2019,,
Lasiurus xanthinus,0,0,NA,https://doi.org/10.2307/3672839,https://doi.org/10.1894/TAL-63.1,,yes,"225, 226","2000, 2014",roost in Yucca/tree roosting,
Latidens salimalii,0,1,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Lavia frons,1,2,buildings,"Nowak 1994, pg 106",,,yes,1,1994,,
Leptonycteris curasoae,0,20,mine shafts,https://doi.org/10.1644/796.1,https://www.nps.gov/articles/parkscience32_1_49-56_best_et_al_3821.htm,,yes,"227, 228","2006, 2015",,
Leptonycteris nivalis,1,7,"mines, culverts, unoccupied buildings","Harvey 2011, pg 94",,,yes,96,2011,,
Leptonycteris yerbabuenae,0,26,"culverts, mines, buildings",http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,,
Lichonycteris obscura,0,0,NA,https://doi.org/10.1093/mspecies/seaa012,,,yes,229,2020,,
Lionycteris spurrelli,0,2,culvert,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lonchophylla bokermanni,1,3,mines,https://www.redalyc.org/journal/457/45758865005/html/,,,yes,230,2018,difficult to find roost type - paper cited placed mist nets at the exit of a mine and refers to it as a roost.,
Lonchophylla chocoana,NA,0,,,,,yes,NA,NA,"roosting information not found, leaving as NA, dat deficient",
Lonchophylla concava,1,1,tunnels,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lonchophylla dekeyseri,1,1,tunnels,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lonchophylla fornicata,1,0,railroad tunnel,https://doi.org/10.2988/0006-324X(2007)120[340:ANSONB]2.0.CO;2,,,yes,231,2007,,
Lonchophylla handleyi,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lonchophylla hesperia,1,0,house,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Lonchophylla inexpectata,NA,0,,,,,yes,NA,NA,very little information on this bat's ecology and biology in general,
Lonchophylla mordax,0,2,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
